zyshih           16844   0.0  0.1 1509205888   9232 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16814   0.0  0.1 1509206592   9152 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16784   0.0  0.1 1509206768   9904 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16754   0.0  0.1 1509205952   8912 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16724   0.0  0.1 1509206720   8640 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16694   0.0  0.1 1509205952   8528 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16664   0.0  0.1 1509206096   8528 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16634   0.0  0.1 1509206240   8672 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16604   0.0  0.1 1509205888   8896 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16574   0.0  0.1 1509206080   8784 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16544   0.0  0.1 1509206064   8608 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16514   0.0  0.1 1509206576   9184 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16484   0.0  0.1 1509206352   8752 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16454   0.0  0.1 1509206048   8768 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16424   0.0  0.1 1509206864   9120 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16394   0.0  0.1 1509206320   9056 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16364   0.0  0.1 1509205904  10320 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16333   0.0  0.1 1509206224   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16303   0.0  0.1 1509206416   8704 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16273   0.0  0.1 1509206736   8528 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16243   0.0  0.1 1509205936   8528 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16213   0.0  0.1 1509206592   8848 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16183   0.0  0.1 1509205968   8976 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16150   0.0  0.1 1509205968   9168 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16111   0.0  0.1 1509206176   9200 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16080   0.0  0.1 1509206320   8928 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16050   0.0  0.1 1509206304   8880 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           16020   0.0  0.1 1509206560   8528 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15990   0.0  0.1 1509206192   9344 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15960   0.0  0.1 1509206032   8560 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15930   0.0  0.1 1509206544   8528 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15899   0.0  0.1 1509205952   9008 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15867   0.0  0.1 1509205968   9152 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15837   0.0  0.1 1509205936   9200 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
